,#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile
0,1,31.639491526246463,32.0,32.0,32.0,32.0,32.0
1,2,31.618002787660117,32.0,32.0,32.0,32.0,32.0
2,3,35.66454209023232,37.0,37.0,37.0,32.0,37.0
3,4,36.135634015138905,37.0,37.0,37.0,37.0,37.0
4,5,36.33817981129162,37.0,37.0,37.0,37.0,37.0
5,6,39.89045790534265,41.0,41.0,41.0,37.0,41.0
6,7,39.98228999362072,41.0,41.0,41.0,37.0,41.0
7,8,40.09800371450226,41.0,41.0,41.0,37.0,41.0
8,9,40.09410346835541,41.0,41.0,41.0,37.0,41.0
9,10,40.1102169515942,41.0,41.0,41.0,37.0,41.0
10,11,40.14826572575025,41.0,41.0,41.0,37.0,41.0
11,12,40.12512352866827,41.0,41.0,41.0,37.0,41.0
12,13,40.069397493337185,41.0,41.0,41.0,37.0,41.0
13,14,40.08390292154536,41.0,41.0,41.0,37.0,41.0
14,15,40.085222357502914,41.0,41.0,41.0,37.0,41.0
15,16,40.087172453757994,41.0,41.0,41.0,37.0,41.0
16,17,40.05952587357889,41.0,41.0,41.0,37.0,41.0
17,18,40.08766706457051,41.0,41.0,41.0,37.0,41.0
18,19,40.077069123463446,41.0,41.0,41.0,37.0,41.0
19,20,40.09115953771924,41.0,41.0,41.0,37.0,41.0
20,21,40.04739781156371,41.0,41.0,41.0,37.0,41.0
21,22,40.02398643871177,41.0,41.0,41.0,37.0,41.0
22,23,40.03484234551887,41.0,41.0,41.0,37.0,41.0
23,24,40.047978294730065,41.0,41.0,41.0,37.0,41.0
24,25,40.01643844117488,41.0,41.0,41.0,37.0,41.0
25,26,39.949049937187404,41.0,41.0,41.0,37.0,41.0
26,27,39.923251838538626,41.0,41.0,41.0,37.0,41.0
27,28,39.92581162314223,41.0,41.0,41.0,37.0,41.0
28,29,39.910940151287136,41.0,41.0,41.0,37.0,41.0
29,30,39.890907863603914,41.0,41.0,41.0,37.0,41.0
30,31,39.9137688434772,41.0,41.0,41.0,37.0,41.0
31,32,39.908960983941625,41.0,41.0,41.0,37.0,41.0
32,33,39.91566613440289,41.0,41.0,41.0,37.0,41.0
33,34,39.89417372170272,41.0,41.0,41.0,37.0,41.0
34,35,39.84391015499048,41.0,41.0,41.0,37.0,41.0
35,36,39.86146716268812,41.0,41.0,41.0,37.0,41.0
36,37,39.87996801536413,41.0,41.0,41.0,37.0,41.0
37,38,39.85846860307483,41.0,41.0,41.0,37.0,41.0
38,39,39.85967709152215,41.0,41.0,41.0,37.0,41.0
39,40,39.826575149586716,41.0,41.0,41.0,37.0,41.0
40,41,39.85708027077843,41.0,41.0,41.0,37.0,41.0
41,42,39.84945396366216,41.0,41.0,41.0,37.0,41.0
42,43,39.86334812123921,41.0,41.0,41.0,37.0,41.0
43,44,39.83288371030144,41.0,41.0,41.0,37.0,41.0
44,45,39.86139225903908,41.0,41.0,41.0,37.0,41.0
45,46,39.848243463838664,41.0,41.0,41.0,37.0,41.0
46,47,39.8132349250104,41.0,41.0,41.0,37.0,41.0
47,48,39.80308605715907,41.0,41.0,41.0,37.0,41.0
48,49,39.78716252828699,41.0,41.0,41.0,37.0,41.0
49,50,39.76192461131429,41.0,41.0,41.0,37.0,41.0
50,51,39.76755072549937,41.0,41.0,41.0,37.0,41.0
51,52,39.7596950410432,41.0,41.0,41.0,37.0,41.0
52,53,39.73900452379958,41.0,41.0,41.0,37.0,41.0
53,54,39.75703337353136,41.0,41.0,41.0,37.0,41.0
54,55,39.72022754940121,41.0,41.0,41.0,37.0,41.0
55,56,39.73052638546072,41.0,41.0,41.0,37.0,41.0
56,57,39.69580807480646,41.0,41.0,41.0,37.0,41.0
57,58,39.74989655492292,41.0,41.0,41.0,37.0,41.0
58,59,39.751630495284225,41.0,41.0,41.0,37.0,41.0
59,60,39.676195708833504,41.0,41.0,41.0,37.0,41.0
60,61,39.66927472429865,41.0,41.0,41.0,37.0,41.0
61,62,39.68056522245298,41.0,41.0,41.0,37.0,41.0
62,63,39.66442237312192,41.0,41.0,41.0,37.0,41.0
63,64,39.673029078626385,41.0,41.0,41.0,37.0,41.0
64,65,39.659819003498264,41.0,41.0,41.0,37.0,41.0
65,66,39.636529251859514,41.0,41.0,41.0,37.0,41.0
66,67,39.652575689225536,41.0,41.0,41.0,37.0,41.0
67,68,39.6283488508324,41.0,41.0,41.0,37.0,41.0
68,69,39.58786738422914,41.0,41.0,41.0,37.0,41.0
69,70,39.57817131738408,41.0,41.0,41.0,37.0,41.0
70,71,39.549918803425335,41.0,41.0,41.0,37.0,41.0
71,72,39.55546869986226,41.0,41.0,41.0,37.0,41.0
72,73,39.53194342948167,41.0,41.0,41.0,37.0,41.0
73,74,39.52492120567896,41.0,41.0,41.0,37.0,41.0
74,75,39.53983969010003,41.0,41.0,41.0,37.0,41.0
