,#Duplication Level,Percentage of deduplicated,Percentage of total
0,1,67.90783572533351,16.30078473389498
1,2,15.113985471979557,7.256005761881316
2,3,5.9511408968300845,4.285584968692337
3,4,3.0257991756399845,2.9052848162972165
4,5,1.7810060638290006,2.1375881108671266
5,6,1.1719438383374363,1.687899844685502
6,7,0.794715444467579,1.3353598554009634
7,8,0.6092826471110954,1.1700311360623195
8,9,0.4788782119343553,1.0345612559736035
9,>10,2.744527094678331,12.23008174185119
10,>50,0.22606768563306923,3.76557958541675
11,>100,0.1636436290040782,7.629341777834772
12,>500,0.015018455462908557,2.4740827793651854
13,>1k,0.010320496799441697,5.084695654027676
14,>5k,0.00238818161467711,4.066128575301802
15,>10k+,0.0034469813453151137,26.63698940244748
